epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,38627.3,2.05111,1.28072,2.80485,0.93787,0.38002,0.66234,0.40849,1.76228,1.03583,2.55778,0.00675827,0.00675827,0.00675827
43,39538.3,2.0428,1.2738,2.80325,0.93721,0.3768,0.65968,0.41377,1.76076,1.02985,2.56991,0.00664579,0.00664579,0.00664579
44,40449.7,2.03729,1.27331,2.7999,0.93719,0.37769,0.65969,0.41435,1.74256,1.03398,2.55311,0.00653331,0.00653331,0.00653331
45,41361.4,2.03451,1.26711,2.79051,0.94775,0.36329,0.65802,0.41421,1.74761,1.04069,2.54622,0.00642083,0.00642083,0.00642083
46,42273.3,2.03839,1.26227,2.78466,0.93288,0.3947,0.66685,0.4162,1.74731,1.02979,2.55149,0.00630835,0.00630835,0.00630835
47,43185.3,2.04075,1.26186,2.78247,0.94321,0.37598,0.66234,0.41825,1.72971,1.02168,2.52684,0.00619587,0.00619587,0.00619587
48,44097.1,2.03425,1.26103,2.78115,0.93463,0.40012,0.67154,0.41846,1.73417,1.02414,2.52995,0.00608339,0.00608339,0.00608339
49,45008.9,2.02966,1.2615,2.77432,0.94442,0.37996,0.66538,0.41685,1.74545,1.02693,2.54036,0.00597091,0.00597091,0.00597091
50,45920.3,2.02788,1.25987,2.79656,0.94321,0.38284,0.66531,0.41791,1.73336,1.02664,2.52793,0.00585842,0.00585842,0.00585842
51,46832,2.03104,1.2612,2.78003,0.93204,0.40074,0.67032,0.41338,1.76313,1.02605,2.5541,0.00574594,0.00574594,0.00574594
52,47743.6,2.02719,1.25554,2.77604,0.93315,0.4041,0.67239,0.41824,1.74413,1.01603,2.54092,0.00563346,0.00563346,0.00563346
53,48654.6,2.01753,1.24988,2.76987,0.9384,0.38771,0.66583,0.41791,1.73463,1.01085,2.5247,0.00552098,0.00552098,0.00552098
54,49566.5,2.02367,1.24824,2.7633,0.93854,0.40012,0.67216,0.42004,1.73685,1.01415,2.52928,0.0054085,0.0054085,0.0054085
